identifier,first_name,last_name,date_of_birth,address,city,zipcode,state,ssn,creditor,account,current_balance,sale_price
01568c506885a6282dc9776c05c96bc9,James,Martinez,10/21/1909,28894 Clifford Neck Suite 880,Lake Gloriastad,42420,WA,698-60-1016,JCB 15 digit,PPUW1245908172351,4655.7,19.02
a47f8547f57910e139d78f058b3e8c36,Frederick,Choi,02/13/1956,188 Catherine Squares,West Ashleyfort,38583,WI,847-30-8785,VISA 13 digit,VUGA1241668671777,3131.67,13.13
7aef5c753389dd82c3299ecaa1ac9155,Andre,White,09/17/1919,57148 Joseph Branch,Wilsonmouth,47891,NY,785-05-1381,JCB 16 digit,AURP7556168033202,5053.81,20.33
420a68845335d638c3bfb74d10483b6e,Donna,Stephens,07/14/2019,660 Donald Oval,Port Josephhaven,70183,AZ,477-13-0421,VISA 16 digit,JLGG6902882714509,3371.43,20.71
c472e1273dcfb79c2a774dedbc0a9b9c,Christian,Gomez,11/03/1963,7778 Richard Mews,Gibsonview,40206,VA,118-39-8805,JCB 15 digit,XBVV1009439477075,6206.04,30.42
460695806c5a805cab7546f8039de0fd,Greg,Allen,12/15/1911,76752 Steven Garden,Lake Johnnyberg,32126,ME,304-10-9338,American Express,KKTA1811595217937,3582.78,17.39
6a0014e373238d09a28424f76534715d,Heather,Hutchinson,05/09/1934,37294 Bill Landing Suite 849,East Kathleen,63290,NM,085-36-4279,Maestro,RZOM7052728096723,108.55,0.84
5d730fa3ad5ec18d64adbc19945a0c53,Jeffery,Johnson,05/25/1933,016 Thomas Spurs Apt. 793,Paulville,36950,WA,184-70-3769,American Express,GGHS9710271997170,797.67,6.06
ae941c53cf196674721a5c7f222ed652,Erica,Reed,09/20/1994,779 Rivera Hills Suite 812,Tamaraport,08992,DE,679-65-5356,JCB 16 digit,TWVQ8080312231318,5376.71,29.46
240dcd388a9068353ebf70180662c75e,Sarah,Anderson,10/05/1916,621 Sharp Island,Leeberg,56496,RI,318-53-6399,JCB 16 digit,RRWL6398977679548,4321.16,17.51
153faa92f44182813188fb11e8498e09,Jennifer,Miller,10/07/1905,36058 Melissa Viaduct,East Danielview,07004,NC,835-47-2330,VISA 16 digit,QWTO2872841776720,169.08,1.28
98a166cbee41ce8b8bf12285eaa0dfb2,Lori,Welch,04/10/1966,37019 Patrick Island Apt. 608,South Nicole,88174,MS,735-90-0040,VISA 13 digit,EIEM7740733663520,847.22,5.31
adb612d5bf950095c8e0da95573ed7a4,Aaron,Anderson,12/04/1992,854 Mccoy Port Suite 445,Port Deborahhaven,29009,NM,573-32-9713,JCB 16 digit,EJHO1718221228890,999.6,5.78
5529a992d88dcbfb37208f6fd543f134,Robert,Smith,12/02/1926,9117 Davis Pike,New Michelleside,97899,CT,737-61-5943,Maestro,REQY4868074291731,6608.83,52.21
36825ae9488b9ef593cafbec6076a4f6,Lucas,Martinez,10/25/1975,86390 David Route,Greeneshire,85504,IN,279-54-7970,VISA 16 digit,WSBQ9464387955632,5934.34,30.14
046f7a7bcb0ac463b34a8bf6f6b4a8d2,Latasha,Perez,08/04/1905,566 Samuel Courts Suite 571,Elliottberg,37943,AL,138-17-9958,Diners Club / Carte Blanche,TJOU3776996260534,2973.86,22.06
1f0fb99931e2f86cead56602e2cde967,Samantha,Washington,03/03/1992,371 Christopher Ridges Apt. 249,West Kristen,71200,MD,468-11-6380,VISA 13 digit,FYAK4871408204980,2461.6,10.36
bbe1a4f62443470b34ee2df700cc5e56,Brian,Wright,02/27/1987,52420 Matthew Mall,Mccannport,32973,IA,519-78-5543,VISA 13 digit,YSWE6787457310974,7416.35,30.61
de32dcf439bbc97e0755fab3d8447ea4,Jason,Garcia,12/16/2013,45219 Cortez Keys Suite 089,West Zacharyland,29763,TX,773-66-7376,VISA 13 digit,KANR9056472105470,4004.07,25.7
